geometry,delta,delta_rel,orc_mean,orc_f_neg,lambda2,spectral_gap,h1_count,val_loss,hr10,ndcg10
"pure_init (euclidean, 0 outer steps)",0.33257484436035156,0.24170781999965343,-0.13569554372521767,0.6652917812404522,0.20160996515631208,0.008150901445725596,83,,,
"GINCF seed=0, epoch0",0.32779914140701294,0.23689858235361416,-0.14140748299571038,0.6659021406727829,0.20849059206959922,0.008733306966672003,74,,,
"GINCF seed=0, restored-best (step 187/300)",0.4033578634262085,0.24739819991268414,-0.09609053503144158,0.6746536267318664,0.5781542808507896,0.016277534659257922,358,0.39053454995155334,0.20666666666666667,0.09540502385662268
"GINCF seed=1, epoch0",0.3211783170700073,0.23032122857867052,-0.1472523029393267,0.678407350689127,0.2505782690171954,0.010367059047515887,73,,,
"GINCF seed=1, restored-best (step 216/300)",0.3894726634025574,0.24026554324746466,-0.09149496243516188,0.6672706308680613,0.5424836205648171,0.013838245948607619,361,0.3716488480567932,0.19,0.0905122276282309
"GINCF seed=2, epoch0",0.32920390367507935,0.23530619958796997,-0.14430528264034315,0.6800367421922842,0.2434361750654367,0.010012049766862065,69,,,
"GINCF seed=2, restored-best (step 89/300)",0.36099427938461304,0.24060292644727344,-0.08654781330946058,0.6422777159217433,0.4323990387598186,0.014237662683933384,277,0.3576829433441162,0.18666666666666668,0.08680733310709021
Poincare-pretrained (a priori hyperbolic),0.28200042247772217,0.16937042733547142,-0.08447361857845685,0.7309879645549531,8.928263315325644,0.010689935266110543,52,0.5637356370687485,0.1,0.036675967227623306
"Euclidean NeuMF (dropout=0.2, fair baseline)",0.7532442808151245,0.3830668135074973,-0.11006519469443367,0.7383456011216264,0.5771589227593914,0.01317819443895143,968,0.40474776869018875,0.12333333333333334,0.05907468860814255
