geometry,delta,delta_rel,orc_mean,orc_f_neg,lambda2,spectral_gap,h1_count,val_loss,hr10,ndcg10
"GINCF 1000u/1200i seed=0, restored-best (step 137/300)",0.38992804288864136,0.3114830412642335,-0.09822377273768675,0.6704479008303122,0.21529163968437914,0.011475811290154628,-1,0.339992493391037,0.22210953346855983,0.11061621569151897
"GINCF 1000u/1200i seed=2, restored-best (step 240/300)",0.32010138034820557,0.2766924738694987,-0.12180072826345854,0.7268636048926841,0.6522483979109321,0.0271322170594963,-1,0.3641936480998993,0.22718052738336714,0.11510987489748448
"GINCF 3000u/2500i seed=0, restored-best (step 88/100)",0.3500053882598877,0.3380440187712043,-0.11344144046479003,0.6810479375696767,0.2024539584276247,0.011373451770163889,-1,0.32505324482917786,0.3119891008174387,0.16121042629489743
"GINCF 3000u/2500i seed=1, restored-best (step 93/100)",0.39271533489227295,0.2922485538538732,-0.1358847944530563,0.7301200818991754,0.22767357548260958,0.011204425241067094,-1,0.32385867834091187,0.3072207084468665,0.1566224756652531
"GINCF 3000u/2500i seed=2, restored-best (step 91/100)",0.3508757948875427,0.32803151080571885,-0.11255079030694579,0.6827203254714388,0.1652578106597076,0.00957394506652593,-1,0.337467759847641,0.30517711171662126,0.1561385428968591
Poincare-pretrained 1000u/1200i,0.32811135053634644,0.19590953418487103,-0.13017726157826362,0.8290296994800388,7.826629309939243,0.0092028980100063,-1,0.3670005281181896,0.11561866125760649,0.05490116744732708
"Euclidean NeuMF (dropout=0.2, fair) 1000u/1200i",0.8918910026550293,0.38666862919518896,-0.16900593553091844,0.8624070317782285,0.9738825899040859,0.015462936436234044,1921,0.4640058521521382,0.20486815415821502,0.10482787242787166
Poincare-pretrained 3000u/2500i,0.28086012601852417,0.16570245899506345,-0.1917120770084928,0.8923342308986874,6.339635897917468,0.004866352297984544,-1,0.4306227629166858,0.17166212534059946,0.088713157978774
"Euclidean NeuMF (dropout=0.2, fair) 3000u/2500i",0.8191570043563843,0.4010854589844457,-0.1663949759827436,0.8764116769656936,0.14771392819570295,0.0026966370591826124,-1,0.3760091192228593,0.29155313351498635,0.14926979929463657
"GINCF 1000u/1200i seed=1, restored-best (step 121/300)",0.3808407783508301,0.2838227069785995,-0.10136478179773184,0.6818701417466849,0.13995598040274437,0.005419023618972753,-1,0.3566341698169708,0.21399594320486814,0.10892264951062532
