,train_base,train_with_graph,train_with_evolution,test_base,test_with_graph,test_with_evolution
0,0.001188193446108759,0.0009097141542834798,0.0019012167184905347,0.000889227114541355,0.0010028204142130694,0.0007155517122846861
1,0.0007869258533123036,0.0021005952335436074,0.0029385882566334565,0.0012407437624628401,0.003538437605628265,0.002830197535951591
2,0.001175352241477182,0.0020546734544213633,0.001586982929412698,0.0013336536393387603,0.0015061659241793362,0.0008779460020279508
3,0.002804715676866102,0.007888770756315961,0.010039912161761116,0.0022386682181981706,0.01475944113535247,0.010200884309208536
4,0.013012287180553826,0.0007783241985021078,0.0011863644886800863,0.008282601914866985,0.001298729826585958,0.0009545849000047953
5,0.0032278308565469828,0.0010876316095822217,0.011603020115291242,0.0013584703167222566,0.0009993136277173882,0.01437552241414343
6,0.006579469614571516,0.0031188875424899847,0.0013564832887499256,0.007561475655928561,0.00478370081605914,0.0006696285930323037
7,0.002114685523276853,0.0017516861127024356,0.000952029406655607,0.0024455163020207418,0.00319909175122502,0.0014625094573881068
8,0.0016722166123170012,0.001928514172045538,0.0010802242862170222,0.0014840533918984307,0.0016268555094738483,0.0008715173846317398
9,0.009147119851092563,0.0012242899477243297,0.002024190785142664,0.004532777277055554,0.0006238482421714493,0.00168975214629512
