,train_base,train_with_graph,train_with_evolution,test_base,test_with_graph,test_with_evolution
0,0.0016312755759701923,0.0012320403554875769,0.0012309205797949915,0.001374519046983292,0.0010278322411498514,0.002582578184781129
1,0.0014505601078230958,0.0013123447857488022,0.002474335478765034,0.0014705437163338995,0.0017344774412836985,0.0023394017998397978
2,0.0016742398772261026,0.0020298870624730066,0.043577572055584476,0.001836785793200495,0.0010927184078418266,0.0599500150893317
3,0.008814323652610376,0.0011031159691407325,0.002239277248286467,0.006394592872125475,0.0017166037871259774,0.0019657925062342443
4,0.0020667553612451514,0.0011346984847912971,0.007750886882442939,0.0007486437484265505,0.0022133415894420297,0.007637664006646345
5,0.0013351707122944878,0.0035650845933645828,0.0012206534918141152,0.0009316412411863061,0.0015341260422569443,0.0018258144564903002
6,0.0017851828321048871,0.009987123495083499,0.004721653443698897,0.0008836380115782697,0.00544338903024252,0.007455204353914018
7,0.001505470202041306,0.0010758631821565568,0.0033811018110683306,0.000766805049513279,0.0017930156446874035,0.0017099040069666132
8,0.0065747321633418876,0.002522034670565085,0.001714102481249147,0.00937632321763672,0.0009525574945987307,0.0013169328805676583
9,0.0011628188118055593,0.0029877886721386224,0.003994720249258421,0.001183734715118508,0.00862449875030407,0.002512224769042532
